evacion,cliente_genero,cliente_ciudadano_mayor,cliente_pareja,cliente_dependientes,cliente_antiguedad_meses,telefono_servicio,telefono_multiples_lineas,internet_servicio,internet_seguridad_en_linea,internet_respaldo_en_linea,internet_proteccion_dispositivo,internet_soporte_tecnico,internet_streaming_tv,internet_streaming_peliculas,cuenta_contrato,cuenta_facturacion_electronica,cuenta_metodo_pago,cuenta_cargos_mensuales,cuenta_cargos_diarios
0,0,0,1,1,9,1,0,1,0,1,0,1,1,0,1,1,0,65.6,2.19
0,1,0,0,0,9,1,1,1,0,0,0,0,0,1,0,0,0,59.9,2.0
1,1,0,0,0,4,1,0,2,0,0,1,0,0,0,0,1,1,73.9,2.46
1,1,1,1,0,13,1,0,2,0,1,1,0,1,1,0,1,1,98.0,3.27
1,0,1,1,0,3,1,0,2,0,0,0,1,1,0,0,1,0,83.9,2.8
0,0,0,0,1,9,1,0,1,0,0,0,1,1,1,0,1,2,69.4,2.31
0,0,1,1,0,71,1,0,2,1,1,1,1,1,1,2,1,3,109.7,3.66
0,1,0,1,0,63,1,1,2,1,0,0,1,0,0,2,1,2,84.65,2.82
0,0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,1,1,48.2,1.61
0,0,0,1,1,65,1,1,1,1,1,1,1,1,1,2,1,0,90.45,3.02
0,1,0,0,0,54,0,,1,1,0,0,1,1,0,2,0,2,45.2,1.51
0,0,0,1,1,72,1,1,2,1,1,1,1,1,1,2,1,2,116.8,3.89
0,0,0,1,0,5,1,0,2,0,0,0,0,0,0,0,1,1,68.95,2.3
0,0,0,0,0,72,1,1,2,1,1,1,0,1,0,2,1,3,101.3,3.38
0,0,0,0,0,56,0,,1,1,1,1,1,0,0,2,0,3,45.05,1.5
0,0,0,1,1,71,1,1,2,0,1,1,0,0,1,2,1,2,95.75,3.19
0,0,0,1,1,34,0,,1,1,0,1,1,1,1,1,0,0,61.25,2.04
0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,1,72.1,2.4
1,1,1,0,0,45,1,0,1,1,0,1,0,0,1,1,0,2,62.7,2.09
1,1,1,0,0,1,0,,1,0,0,0,0,0,0,0,1,1,25.1,0.84
0,0,1,1,0,50,1,1,0,,,,,,,1,0,1,25.2,0.84
1,0,0,1,0,13,1,1,2,0,1,1,0,1,0,0,0,1,94.1,3.14
0,0,0,1,1,23,1,1,2,0,0,0,0,1,0,0,1,1,83.75,2.79
0,0,0,0,0,3,1,0,0,,,,,,,0,0,0,19.85,0.66
1,0,0,1,1,4,1,0,0,,,,,,,0,0,0,20.35,0.68
1,0,0,1,1,1,0,,1,1,0,0,0,0,0,0,0,3,30.5,1.02
0,0,0,1,1,55,1,0,2,0,1,1,1,1,1,1,1,3,103.7,3.46
0,1,0,1,1,54,1,0,0,,,,,,,2,0,2,20.4,0.68
0,1,0,0,0,26,1,0,0,,,,,,,1,1,3,19.6,0.65
0,0,0,1,1,69,1,0,0,,,,,,,2,0,3,19.7,0.66
